,ENSG00000123096,ENSG00000131095,ENSG00000048649,ENSG00000078549,ENSG00000206172,ENSG00000244734,ENSG00000121966,ENSG00000155980,ENSG00000127914,ENSG00000170275,ENSG00000188536,ENSG00000038427,ENSG00000078114,ENSG00000104324,ENSG00000157833,ENSG00000146005,ENSG00000225465,ENSG00000117592,ENSG00000168280,ENSG00000120063,ENSG00000124749,ENSG00000152661,ENSG00000089169,ENSG00000111328,ENSG00000141279,ENSG00000152990,ENSG00000092820,ENSG00000152518,ENSG00000104361,ENSG00000147027,ENSG00000196739,ENSG00000087263,ENSG00000185650,ENSG00000119729,ENSG00000108932,ENSG00000107562,ENSG00000124942
hB_RNA_9151,3.384769722,12.63763605,7.546318102,8.000729709,1.032870961,7.061358039,1.201889597,10.8511939,8.566228661,5.795786401,2.658505394,7.834304974,8.705652371,4.622664425,5.018975805,7.057336413,6.13550606,6.673227621,10.15130801,6.521744914,4.856624347,8.472597197,6.274889986,4.521514519,7.083415904,6.302711961,6.712778715,5.207750984,5.587050633,6.54926988,4.024550078,5.336053958,5.768389724,5.653389376,2.327102665,3.302063975,9.60036428
BM_22_64,3.556635831,12.35040849,7.563302878,7.577581025,0.865245816,6.384909098,2.49076717,10.75133084,8.557453577,5.472398544,1.907124318,7.888593278,8.882496826,4.524638313,3.845672751,6.283886292,6.587653927,6.615088084,10.28714281,6.736540611,4.403097134,9.359145644,6.873639988,5.151852499,7.454396549,5.622415956,6.621991974,4.488614964,6.188523356,6.728338368,4.149732136,5.162912032,5.981547754,6.006366071,2.190138921,2.729809671,9.676574656
BM_22_213,3.724816609,12.09513402,7.311591524,7.742853164,0.194019166,4.960229274,2.556606526,10.9026412,8.3981138,5.962443621,1.773556624,8.035717528,8.725372239,4.72345458,5.779036425,7.186378683,6.118678488,6.740977562,10.00378186,6.686744276,4.529946405,8.671926442,7.007807522,5.28288614,7.218792857,6.304171869,6.723886888,5.107346913,5.417403641,6.650018388,3.821988431,4.972584774,6.208865231,6.087095382,2.554316514,3.624658653,9.477675823
BM_22_110,4.844038565,13.92314021,7.132743603,7.978228917,3.567701747,9.436863445,4.097755418,9.351561367,8.330899172,5.838434173,4.901956954,8.108771136,8.820749358,5.311852179,4.665734545,7.362180842,4.829249954,7.216749877,9.076709431,7.224491407,5.354711333,9.128114294,5.416117052,4.957115476,6.840787028,6.943165756,7.539795859,5.915515583,4.757165938,7.315461149,4.442087128,5.085596178,6.901346816,6.114269356,4.360556681,5.053149804,10.51604766
BM_22_69,3.436060707,12.22926223,7.568804174,7.642796981,1.914861882,7.75648822,1.580716431,10.46178614,8.326777209,5.404052652,3.370439221,7.519958214,8.684397922,4.393778342,3.939204261,6.447663955,6.434815753,6.501309333,10.09398952,6.690789878,4.088644175,8.671686469,7.153423535,4.469723846,7.315225655,5.726504215,6.407852814,4.968141606,6.006390041,6.938257044,3.430129197,5.210653745,5.791727679,5.745922518,3.124318362,3.33622964,9.254788595
hB_RNA_9152,3.755224594,12.46939028,7.521750739,7.891274253,2.537756198,8.376351103,2.120004256,10.71653552,8.546047913,5.759619644,4.069843239,8.712177534,8.837335809,4.604699363,5.125022085,6.741580032,6.494743696,6.591817098,10.09556091,6.618691552,4.75869076,8.714409664,6.538908379,5.073808719,7.221125622,5.901673074,7.012844455,4.103172356,5.971764894,6.777131687,3.77613615,5.38611144,5.45289159,6.02320119,1.975129415,2.538560307,9.459960271
BM_22_150,3.418408669,12.96520286,7.568660227,7.639761879,1.204669559,6.579614929,1.942003013,11.35153208,8.409305631,5.788074099,3.012540001,7.954046353,8.621042348,4.535224441,4.507173744,6.871448475,6.348687176,6.831588473,10.43645629,6.304345605,4.050306019,8.496818143,7.735985223,4.850504314,6.979266835,5.777865916,6.829300231,4.244860229,5.995542894,5.863355165,4.112782545,5.381131019,5.423241406,5.4057041,2.861693243,2.294369783,9.474627176
hB_RNA_8225,3.298488389,12.68436291,7.517169202,7.625074909,-1.54441862,4.968820243,0.445640993,10.92763834,8.371489966,5.427935348,1.085359355,7.922843828,8.690310727,4.335484347,4.746266476,6.545377445,6.243719832,6.570553366,10.10713051,6.783158667,3.88699889,8.642167249,7.299363099,4.797880925,7.204101247,5.965911019,6.491491778,4.560126538,5.921419414,6.417893605,4.281171596,4.896174338,5.944680956,5.647971737,2.780859206,2.193462244,9.539987848
hB_RNA_8185,3.985709243,12.83430938,7.455628587,8.054969807,0.646127284,6.584568988,1.802073543,11.27180129,8.125198742,5.974233006,2.599062732,7.468593968,8.751960782,4.754335135,4.702359828,7.513050177,6.117169932,6.621452743,10.40616067,6.580949813,4.622490649,8.846120687,6.265489047,4.543638758,7.031539613,6.337077416,6.869204699,4.973083069,5.536628221,6.902154014,4.038290283,5.126653732,5.990464525,5.701114728,2.938068071,4.019086156,9.462245499
BM_22_130,5.204556312,14.24512707,7.254056361,8.746754845,2.091265333,7.6131521,3.885346557,9.748973458,8.114455982,6.347706843,4.164436389,9.387338538,8.935592055,5.545576282,5.738781053,8.00420299,4.197723387,7.297822409,9.368864751,7.203606871,5.501439773,9.634153758,4.863343442,5.847733849,6.709087212,6.733147495,7.751774199,5.703282796,4.139068322,7.457320557,4.750969164,5.259263669,6.825292668,5.88213348,2.620287236,4.291926709,11.10705165
